Sample name	Sample ID	Sample ontology ID	Facet ontology ID	Facet ontology term
adipose tissue, adult, pool1	CNhs10615	FF:10010-101C1	UBERON:0001013	adipose tissue
Whole blood (ribopure), donor090309, donation2	CNhs11671	FF:12180-129A2	UBERON:0000178	blood
Whole blood (ribopure), donor090309, donation3	CNhs11948	FF:12181-129A3	UBERON:0000178	blood
Whole blood (ribopure), donor090325, donation1	CNhs11075	FF:12176-128I7	UBERON:0000178	blood
Whole blood (ribopure), donor090325, donation2	CNhs11076	FF:12177-128I8	UBERON:0000178	blood
Whole blood (ribopure), donor090612, donation1	CNhs11672	FF:12182-129A4	UBERON:0000178	blood
Whole blood (ribopure), donor090612, donation2	CNhs11673	FF:12183-129A5	UBERON:0000178	blood
Whole blood (ribopure), donor090612, donation3	CNhs11949	FF:12184-129A6	UBERON:0000178	blood
blood, adult, pool1	CNhs11761	FF:10053-101G8	UBERON:0000178	blood
aorta, adult, pool1	CNhs11760	FF:10052-101G7	UBERON:0001981	blood vessel
vein, adult	CNhs12844	FF:10191-103E2	UBERON:0001981	blood vessel
frontal lobe, adult, pool1	CNhs10647	FF:10040-101F4	UBERON:0000955	brain
globus pallidus - adult, donor10196	CNhs13801	FF:10175-103C4	UBERON:0000955	brain
amygdala - adult, donor10196	CNhs13793	FF:10167-103B5	UBERON:0000955	brain
amygdala, adult, donor10252	CNhs12311	FF:10151-102I7	UBERON:0000955	brain
brain, adult, donor1	CNhs11796	FF:10084-102B3	UBERON:0000955	brain
brain, adult, pool1	CNhs10617	FF:10012-101C3	UBERON:0000955	brain
brain, fetal, pool1	CNhs11797	FF:10085-102B4	UBERON:0000955	brain
caudate nucleus - adult, donor10196	CNhs13802	FF:10177-103C6	UBERON:0000955	brain
caudate nucleus, adult, donor10252	CNhs12321	FF:10164-103B2	UBERON:0000955	brain
cerebellum - adult, donor10196	CNhs13799	FF:10173-103C2	UBERON:0000955	brain
cerebellum, adult, donor10252	CNhs12323	FF:10166-103B4	UBERON:0000955	brain
cerebellum, adult, pool1	CNhs11795	FF:10083-102B2	UBERON:0000955	brain
corpus callosum, adult, pool1	CNhs10649	FF:10042-101F6	UBERON:0000955	brain
diencephalon, adult	CNhs12610	FF:10193-103E4	UBERON:0000955	brain
duodenum, fetal, donor1, tech_rep1	CNhs11781	FF:10071-101I8	UBERON:0000955	brain
duodenum, fetal, donor1, tech_rep2	CNhs12996	FF:10071-101I8	UBERON:0000955	brain
globus pallidus, adult, donor10252	CNhs12319	FF:10161-103A8	UBERON:0000955	brain
hippocampus - adult, donor10196	CNhs13795	FF:10169-103B7	UBERON:0000955	brain
hippocampus, adult, donor10252	CNhs12312	FF:10153-102I9	UBERON:0000955	brain
insula, adult, pool1	CNhs10646	FF:10039-101F3	UBERON:0000955	brain
locus coeruleus - adult, donor10196	CNhs13808	FF:10182-103D2	UBERON:0000955	brain
locus coeruleus, adult, donor10252	CNhs12322	FF:10165-103B3	UBERON:0000955	brain
medial frontal gyrus - adult, donor10196	CNhs13796	FF:10170-103B8	UBERON:0000955	brain
medial temporal gyrus - adult, donor10196	CNhs13809	FF:10183-103D3	UBERON:0000955	brain
medial temporal gyrus, adult, donor10252	CNhs12310	FF:10150-102I6	UBERON:0000955	brain
